ID,Year,CC,Mileage,Price
583,2006,1598,70500,4495
584,2013,1598,40500,13000
585,2006,1598,60500,6290
586,2011,1598,50500,7240
587,2003,1598,110500,3495
588,2003,1598,100500,3495
589,2003,1598,80500,3395
590,2007,1598,150500,3249
591,2002,1598,130500,2700
592,2005,1598,90500,4495
593,2013,1598,20500,8679
594,2015,1995,500,23995
595,2008,1397,90500,4999
596,2012,1598,20500,11250
597,2013,1598,50500,8379
598,2001,1598,50500,3499
599,2006,1598,50500,4495
600,2007,1397,70500,5495
601,2003,1598,120500,2295
602,2007,1397,100500,3695
603,2010,1560,110500,5200
604,2004,1598,80500,3700
605,2009,1598,30500,9450
606,2013,1598,20500,9995
607,2008,1560,90500,5995
608,2002,1598,120500,2150
609,2002,1598,120500,2195
610,2005,1600,30500,3850
611,2004,1598,110500,4500
612,2004,1598,90500,4990
613,2006,1598,70500,4295
614,2003,1598,120500,2750
615,2010,1598,70500,7450
616,2006,1598,80500,4995
617,2013,1598,60500,8490
618,2004,1598,140500,2995
619,2004,1598,100500,3695
620,2014,1995,40500,15995
621,2013,1995,60500,11950
622,2004,1598,70500,3695
623,2007,1598,110500,3695
624,2005,1598,100500,3295
625,2011,1598,80500,6689
626,2004,1598,90500,3050
627,2006,1600,500,2395
628,2007,1397,70500,4250
629,2002,1600,50500,2625
630,2012,1600,30500,10800
631,2007,1598,90500,5050
632,2007,1598,80500,6490
633,2002,1598,100500,3099
634,2007,1598,100500,3895
635,2006,1598,90500,3295
636,2010,1598,20500,6750
637,2003,1598,90500,2850
638,2006,16,130500,2750
639,2005,1598,60500,3100
640,2007,1598,30500,3795
641,2003,1598,80500,3995
642,2007,1598,130500,4450
643,2013,1995,10500,12950
644,2011,1598,40500,13250
645,2007,1598,90500,4995
646,2002,1598,110500,1995
647,2007,1598,50500,6675
648,2004,1364,120500,3000
649,2005,1600,70500,6400
650,2007,1598,60500,5000
651,2008,1560,90500,5690
652,2003,1598,120500,1600
653,2013,1598,60500,8995
654,2003,1598,70500,3450
655,2001,1598,60500,3399
656,2005,1600,70500,3795
657,2007,1598,40500,11995
658,2004,1598,80500,3195
659,2011,1598,100500,6990
660,2010,0,50500,6999
661,2002,1598,70500,2990
662,2002,1598,110500,2200
663,2001,1598,70500,2750
664,2004,1598,70500,3499
665,2003,1598,90500,3250
666,2012,1598,50500,8300
667,2010,1600,90500,5499
668,2013,1598,20500,10950
669,2009,1397,60500,6995
670,2003,1598,120500,2995
671,2006,1598,60500,6495
672,2011,1598,40500,11995
673,2011,1598,70500,6995
674,2009,1397,10500,6500
675,2005,1598,100500,6000
676,2005,1598,60500,3995
677,2011,1598,70500,8000
678,2010,1600,40500,6500
679,2003,1598,120500,2690
680,2011,1995,90500,11000
681,2010,1598,30500,9300
682,2008,1598,100500,6695
683,2002,1600,80500,2300
684,2003,1598,60500,3995
685,2008,1598,60500,7100
686,2013,1598,40500,13295
687,2007,1598,70500,2495
688,2007,1598,50500,10500
689,2012,1598,30500,9795
690,2002,1598,80500,3490
691,2012,1995,20500,14000
692,2007,1598,90500,4700
693,2003,1598,60500,3490
694,2010,1598,70500,8450
695,2003,1364,160500,1975
696,2007,1598,80500,5795
697,2010,1598,30500,8995
698,2011,1598,30500,4995
699,2003,1598,70500,3295
700,2008,1598,70500,6995
701,2003,1598,50500,3499
702,2004,1600,80500,3495
703,2011,1600,50500,7995
704,2005,1598,120500,3650
705,2003,1598,130500,2850
706,2010,1598,40500,8150
707,2005,1598,90500,4999
708,2007,1397,60500,4450
709,2004,1364,140500,2995
710,2001,1598,100500,3195
711,2008,1598,50500,2950
712,2003,1598,100500,2795
713,2011,1995,40500,9950
714,2009,1560,80500,6150
715,2006,1598,90500,4500
716,2011,1598,20500,10000
717,2002,1598,110500,3350
718,2005,1364,130500,3400
719,2008,1598,80500,6250
720,2007,1598,60500,6000
721,2009,1397,80500,5250
722,2005,1598,80500,3200
723,2002,1598,70500,2850
724,2006,1598,50500,4850
725,2007,1400,70500,3950
726,2006,1598,70500,5990
727,2007,1598,90500,3999
728,2004,1598,90500,3500
729,2007,1397,40500,4500
730,2006,1598,50500,3350
731,2004,1598,100500,3100
732,2001,1598,50500,2200
733,2008,1598,60500,6000
734,2013,1598,40500,8960
735,2003,1598,50500,2695
736,2004,1598,500,2299
737,2006,1598,100500,3985
738,2009,1397,70500,4795
739,2009,1598,60500,6250
740,2001,1598,130500,2899
741,2014,1598,20500,13250
742,2004,1598,80500,3199
743,2006,1600,40500,5495
744,2009,1397,90500,4000
745,2004,1598,80500,4200
746,2013,1598,20500,10795
747,2003,1598,70500,3270
748,2012,1598,20500,11795
749,2007,1598,70500,5795
750,2012,1598,30500,10470
751,2013,1598,20500,10494
752,2011,1598,100500,8470
753,2014,1496,30500,14250
754,2007,1598,70500,6599
755,2002,1598,70500,2195
756,2007,1598,60500,4799
757,2015,1998,10500,25000
758,2012,1598,80500,1033
759,2013,1598,90500,8995
760,2001,1598,100500,2200
761,2008,1598,50500,6740
762,2008,1598,50500,7250
763,2014,1496,10500,14500
764,2007,1598,100500,5495
765,2012,1598,80500,1033
766,2012,1600,80500,7790
767,2011,1598,80500,6995
768,2002,1598,100500,2595
769,2009,1598,60500,1024
770,2006,1598,100500,3495
771,2009,1598,60500,1024
772,2005,1598,120500,3789
773,2013,1598,30500,8950
774,2011,2000,50500,10970
775,2007,1598,100500,5495
776,2007,1598,70500,5495
777,2012,1598,60500,8490
778,2001,1598,80500,3300
779,2010,1598,70500,5500
780,2002,1598,10500,2500
781,2004,1598,70500,3800
782,2004,1598,90500,4150
783,2003,1598,10500,1750
784,2016,0,60500,5991
785,2008,1598,40500,8490
786,2002,1598,110500,2850
787,2005,1598,100500,3200
788,2008,1598,90500,4995
789,2004,1598,110500,2400
790,2007,1598,60500,5995
791,2008,0,110500,3295
792,2013,1995,40500,12375
793,2002,16,500,1750
794,2008,1598,70500,7789
795,2009,1598,60500,9495
796,2002,1600,500,2400
797,2011,1598,30500,8495
798,2007,1598,90500,5380
799,2007,1598,70500,6495
800,2012,1598,40500,9699
801,2011,1995,20500,12400
802,2007,1598,90500,4375
803,2007,1560,110500,5500
804,2005,1598,100500,3000
805,2005,1598,80500,4650
806,2004,1598,140500,2350
807,2006,1598,80500,5000
808,2010,1600,30500,6250
809,2007,1598,90500,4700
810,2015,1995,500,22995
811,2012,1598,20500,12000
812,2008,1598,120500,5295
813,2005,1598,80500,4200
814,2001,1598,100500,2500
815,2003,1600,80500,3700
816,2004,1598,60500,3650
817,2006,1598,50500,6495
818,2002,1598,100500,3299
819,2008,1397,50500,3650
820,2003,1598,140500,2900
821,2003,1598,110500,2300
822,2005,1598,130500,3250
823,2005,1598,100500,3995
824,2013,1598,30500,8800
825,2000,1275,30500,14495
826,2011,1598,70500,7750
827,2006,1598,30500,5900
828,2007,1598,50500,6375
829,2013,1598,20500,14400
830,2001,1598,120500,2199
831,2011,1598,30500,11000
832,2013,1598,20500,14990
833,2010,1397,60500,6000
834,2007,1397,70500,5250
835,2012,1598,30500,8995
836,2002,1598,80500,3500
837,2008,1598,110500,3490
838,2003,1598,100500,3495
839,1989,998,80500,2800
840,2012,1598,60500,12000
841,2003,1598,80500,3100
842,2007,1598,70500,5750
843,2002,1598,110500,3195
844,2007,1598,30500,7975
845,2010,1560,50500,7295
846,2015,1496,10500,13982
847,2007,1598,100500,4850
848,2006,1598,70500,3600
849,2003,1598,10500,3450
850,2003,1598,100500,3000
851,2007,1598,70500,5495
852,2004,1598,90500,3495
853,2008,1598,90500,5495
854,2005,1598,140500,2800
855,2007,1397,80500,3650
856,2006,1598,70500,4895
857,2005,1598,80500,4195
858,2014,1998,20500,13595
859,2008,1598,70500,5995
860,2004,1598,100500,4290
861,2011,1598,20500,9495
862,2002,1598,60500,3695
863,2014,1598,10500,15750
864,2007,1598,50500,4700
865,2005,1598,70500,3995
866,2002,1598,100500,2790
867,2004,1598,110500,2995
868,2008,1560,70500,5850
869,2007,1397,50500,5096
870,2004,1598,80500,4495
871,2004,1598,90500,3495
872,2004,1598,100500,3800
873,2006,1598,50500,4950
874,2012,1598,100500,7279
875,2006,1598,70500,4650
876,2005,1600,80500,2500
877,2015,1496,10500,15650
878,2005,1598,90500,4295
879,2004,1598,80500,4750
880,2002,1598,120500,2500
881,2007,1595,60500,6995
882,2012,1598,40500,14000
883,2015,1995,20500,21000
884,2011,1598,30500,8482
885,2002,1598,120500,2995
886,2005,1598,90500,4999
887,2002,1600,150500,1850
888,2007,1598,40500,5195
889,2005,1598,90500,4300
890,2014,1499,20500,12000
891,2007,1600,100500,4800
892,2015,1598,500,6250
893,2004,1598,100500,3395
894,2013,1598,40500,8579
895,2005,1598,80500,2950
896,2005,1598,80500,3550
897,2012,1598,30500,7979
898,2005,1364,130500,2900
899,2007,1598,80500,6000
900,2004,1598,60500,4790
901,2012,1995,40500,13000
902,2012,1598,40500,8995
903,2006,1598,70500,4975
904,2002,1598,120500,2850
905,2004,1598,90500,3999
906,2003,1598,60500,3350
907,2011,1598,30500,7750
908,2002,1598,140500,2895
909,2007,1598,80500,4495
910,2011,1598,60500,10987
911,2007,1598,80500,4790
912,2009,1560,70500,6995
913,2013,1598,30500,9795
914,2001,1598,100500,2395
915,2006,1598,70500,5600
916,2005,1598,100500,3950
917,2002,1598,70500,3595
918,2012,1598,40500,11999
919,2013,1995,40500,10250
920,2005,1598,50500,4287
921,2013,1598,30500,7995
922,2004,1598,120500,3150
923,2006,1600,50500,3850
924,2008,1598,50500,6280
925,2011,1598,110500,7250
926,2003,1598,80500,2850
927,2002,1598,100500,3395
928,2009,1598,80500,6995
929,2007,1598,50500,6500
930,2007,1598,60500,5995
931,2003,1598,120500,3495
932,2003,1598,130500,2100
933,2010,1598,30500,8495
934,2011,1598,40500,5145
935,2006,1598,80500,3795
936,2007,1598,80500,4599
937,2008,1397,100500,3600
938,2001,1598,110500,2295
939,2014,1598,20500,13000
940,2002,1598,120500,2895
941,2005,1598,80500,4850
942,2010,1598,50500,9750
943,2006,1598,90500,3750
944,2002,1598,100500,3250
945,2007,1598,100500,3400
946,2003,1598,40500,3600
947,2005,1598,50500,3650
948,2006,1598,40500,5895
949,2007,1598,30500,6250
950,2003,1598,110500,3795
951,2005,1598,90500,3850
952,2004,1598,120500,2495
953,2004,1598,80500,3995
954,2007,1598,60500,6200
955,2007,1600,30500,7990
956,2003,1598,90500,2400
957,2012,1598,50500,9100
958,2010,1598,90500,5850
959,2008,1397,60500,5300
960,2009,1560,40500,6495
961,2006,1598,70500,5000
962,2006,1598,100500,3495
963,2003,1598,80500,3500
964,2001,1598,120500,2550
965,2015,1998,10500,20495
966,2006,1598,90500,4999
967,2004,1598,90500,3050
968,2001,1598,100500,1860
969,2012,1598,30500,13995
970,2002,1598,130500,2250
971,2004,1364,120500,3250
972,2004,1598,90500,4250
973,2013,1598,20500,16995
974,2008,1397,90500,5995
975,2001,1598,110500,2295
976,2007,1600,80500,5990
977,2004,1598,60500,3850
978,2007,1598,80500,5995
979,2002,1598,70500,2995
980,2012,1600,20500,13495
981,2006,1598,100500,2950
982,2007,1598,70500,6995
983,2009,1598,50500,5995
984,2009,0,40500,4800
985,2011,1598,70500,9750
986,2008,1560,80500,5995
987,2012,1598,10500,7295
988,2013,1598,10500,15995
989,2009,1397,80500,4575
990,2004,1600,140500,2950
991,2012,1600,30500,9488
992,2008,1560,90500,6495
993,2006,1598,60500,4800
994,2010,1598,20500,8495
995,2011,1560,50500,10995
996,2009,1560,40500,6995
997,2003,1598,90500,2850
998,2015,1499,500,16000
999,2009,1598,90500,6199
1000,2009,1600,40500,7990
1001,2005,1598,60500,2495
1002,2003,1598,60500,1695
1003,2007,1598,90500,4990
1004,2009,1560,20500,7300
1005,2006,1598,70500,2995
1006,2004,1598,80500,2950
1007,2005,1598,110500,2995
1008,2006,1598,90500,2950
1009,2011,1598,70500,8000
1010,2004,1598,110500,3350
1011,2001,1598,120500,3195
1012,2006,1598,100500,3985
1013,2005,1598,100500,3700
1014,2005,1600,140500,3250
1015,2003,1600,100500,3000
1016,2004,1598,80500,2800
1017,2014,1995,20500,15000
1018,2003,1598,70500,3999
1019,2006,1598,100500,3550
1020,2002,1598,130500,2195
1021,2007,1598,90500,3550
1022,2011,1600,40500,12000
1023,2003,1598,100500,3594
1024,2007,1598,70500,6800
1025,2002,1598,90500,2795
1026,2008,1397,70500,4000
1027,2006,1600,50500,4100
1028,2010,1598,10500,7900
1029,2016,1,10500,31990
1030,2004,1598,100500,2650
1031,2003,1598,60500,3600
1032,2010,1598,60500,5995
1033,2014,1598,20500,9970
1034,2001,1598,90500,2450
1035,2003,1598,60500,3500
1036,2012,1598,20500,12495
1037,2005,1598,110500,2750
1038,2011,1600,80500,8995
1039,2009,1560,50500,8995
1040,2012,1598,20500,8740
1041,2013,1598,30500,9740
1042,2005,1598,10500,5690
1043,2005,1598,80500,4470
1044,2007,1598,100500,4500
1045,2012,1598,30500,9960
1046,2001,1598,90500,2495
1047,2008,1560,70500,5989
1048,2009,1598,90500,6546
1049,2014,1198,10500,11770
1050,2013,1598,30500,7970
1051,2010,1560,130500,4900
1052,2007,1397,60500,6990
1053,2013,1598,80500,9766
1054,2013,1995,40500,11000
1055,2011,1995,100500,6949
1056,2010,1598,30500,7500
1057,2006,1598,70500,5190
1058,2013,1598,10500,8990
1059,2011,1598,60500,7970
1060,2012,2000,60500,9990
1061,2010,1598,60500,6995
1062,2011,1598,30500,10990
1063,2012,1598,30500,8999
1064,2009,1560,90500,6296
1065,2012,1598,60500,7990
1066,2013,1598,10500,13750
1067,2007,1598,80500,4849
1068,2013,1598,60500,8500
1069,2003,1364,130500,3000
1070,2006,1598,140500,3795
1071,2002,1598,100500,2750
1072,2011,1598,50500,9800
1073,2007,1598,90500,4400
1074,2006,1598,60500,5696
1075,2012,1598,40500,8000
1076,2006,1598,70500,4790
1077,2005,1598,80500,6100
1078,2009,1397,60500,4200
1079,2012,1598,20500,8350
1080,2005,1598,80500,3500
1081,2008,1598,60500,8000
1082,2005,1598,80500,4696
1083,2009,1397,60500,6995
1084,2006,1598,60500,6495
1085,2007,1560,70500,5996
1086,2009,1598,80500,5796
1087,2007,1598,30500,6000
1088,2015,1496,10500,15395
1089,2005,1598,120500,2600
1090,2009,1397,20500,5550
1091,2004,1598,70500,5990
1092,2006,1598,80500,2850
1093,2003,1598,90500,2800
1094,2007,1560,100500,6200
1095,2004,1598,80500,5250
1096,2004,1598,70500,3195
1097,2007,1598,100500,4500
1098,2004,1598,90500,2550
1099,2007,1598,90500,3950
1100,2007,1598,100500,4600
1101,2007,1397,70500,4750
1102,2011,1598,40500,5750
1103,2006,1598,80500,4996
1104,2006,1598,100500,3985
1105,2002,1598,110500,3495
1106,2002,1598,110500,2599
1107,2004,1598,80500,3995
1108,2006,1598,60500,5995
1109,2013,1995,20500,14995
1110,2012,1598,30500,8750
1111,2007,1598,80500,5200
1112,2004,1600,100500,3300
1113,2004,1598,120500,3500
1114,2008,1598,70500,6950
1115,2006,1598,60500,5995
1116,2007,1598,80500,5695
1117,2007,1598,70500,4250
1118,2009,1598,100500,6999
1119,2005,1598,70500,3500
1120,2007,1598,130500,3200
1121,2007,1397,30500,4400
1122,2007,1598,70500,4800
1123,2001,1598,100500,1950
1124,2005,1598,110500,3195
1125,2002,1598,60500,2650
1126,2008,1397,50500,5350
1127,2002,1595,150500,2000
1128,2010,1598,70500,7785
1129,2002,1600,130500,2250
1130,2006,1598,60500,4595
1131,2004,1598,80500,4100
1132,2009,1560,160500,4350
1133,2004,1600,120500,2590
1134,2012,1600,30500,8995
1135,2002,1598,110500,2295
1136,2005,1598,70500,4400
1137,2004,1598,110500,2800
1138,2004,1598,20500,2850
1139,2011,2000,30500,10995
1140,2008,1598,120500,5000
1141,2009,1598,60500,6289
1142,2005,1598,80500,2995
1143,2007,1600,60500,4495
1144,2004,1598,100500,2670
1145,2007,1598,100500,3700
1146,2004,1600,80500,3000
1147,2013,1995,30500,13990
1148,2006,1598,80500,3799
1149,2003,1598,100500,3350
1150,2011,1598,30500,8495
1151,2013,1598,40500,13000
1152,2015,1496,10500,15500
1153,2012,1995,60500,9941
1154,2002,1598,100500,2300